t_seg,ecg_mV
0.0,-0.11533
0.004,-0.07013
0.008,-0.10998
0.012,-0.10768
0.016,0.07427
0.02,0.29898
0.024,0.54282
0.028,0.70079
0.032,0.89023
0.036,0.94528
0.04,0.9179
0.044,0.88673
0.048,0.58848
0.052,0.36204
0.056,0.16202
0.06,0.01064
0.064,-0.13768
0.068,-0.14436
0.072,-0.18128
0.076,-0.12812
0.08,-0.15144
0.084,-0.00949
0.088,-0.10357
0.092,-0.06304
0.096,-0.0007
0.1,0.00062
0.104,-0.02649
0.108,0.0073
0.112,-0.0499
0.116,-0.03034
0.12,-0.07751
0.124,-0.00849
0.128,-0.07037
0.132,-0.02201
0.136,-0.08382
0.14,-0.08734
0.144,-0.05364
0.148,-0.02302
0.152,-0.02298
0.156,0.00851
0.16,0.04448
0.164,0.01421
0.168,-0.05881
0.172,-0.03635
0.176,-0.05694
0.18,-0.02233
0.184,0.00496
0.188,-0.06782
0.192,-0.02479
0.196,0.02524
0.2,0.01375
0.204,-0.02567
0.208,-0.04228
0.212,0.01972
0.216,0.07599
0.22,0.08647
0.224,0.02764
0.228,0.14353
0.232,0.07543
0.236,0.08377
0.24,0.0877
0.244,0.11988
0.248,0.10527
0.252,0.1248
0.256,0.23956
0.26,0.09834
0.264,0.10939
0.268,0.11979
0.272,0.13213
0.276,0.08774
0.28,0.06883
0.284,0.15244
0.288,0.17463
0.292,0.15473
0.296,0.17862
0.3,0.17121
0.304,0.2116
0.308,0.19761
0.312,0.20438
0.316,0.1508
0.32,0.20694
0.324,0.15554
0.328,0.19242
0.332,0.28238
0.336,0.16743
0.34,0.19473
0.344,0.1282
0.348,0.18569
0.352,0.1266
0.356,0.0314
0.36,0.04015
0.364,0.00218
0.368,0.11238
0.372,0.16337
0.376,0.41813
0.38,0.58653
0.384,0.8148
0.388,0.95867
0.392,0.99353
0.396,0.9763
0.4,0.82609
0.404,0.59055
0.408,0.34573
0.412,0.13461
0.416,0.05199
0.42,-0.06824
0.424,-0.14404
0.428,-0.17907
0.432,-0.13391
0.436,-0.07985
0.44,-0.03109
0.444,-0.01384
0.448,0.00993
0.452,0.0081
0.456,0.03756
0.46,-0.08274
0.464,-0.00099
0.468,-0.00495
0.472,-0.06017
0.476,-0.02578
0.48,1e-05
0.484,-0.00068
0.488,-0.02539
0.492,-0.02693
0.496,0.00297
0.5,-0.01577
0.504,-0.00448
0.508,-0.02678
0.512,-0.08646
0.516,-0.05159
0.52,-0.03145
0.524,-0.03919
0.528,-0.08153
0.532,0.03975
0.536,-0.04628
0.54,-0.02001
0.544,-0.02417
0.548,0.00082
0.552,-0.00469
0.556,0.05187
0.56,-0.03237
0.564,-0.07143
0.568,0.02293
0.572,-0.07454
0.576,-0.01541
0.58,0.02107
0.584,0.01645
0.588,0.02741
0.592,0.00832
0.596,0.06105
0.6,0.11871
0.604,0.02216
0.608,0.04335
0.612,0.10619
0.616,0.05243
0.62,0.16899
0.624,0.16423
0.628,0.12738
0.632,0.25525
0.636,0.25674
0.64,0.23925
0.644,0.28548
0.648,0.29034
0.652,0.26489
0.656,0.2364
0.66,0.23703
0.664,0.25153
0.668,0.24357
0.672,0.22954
0.676,0.20693
0.68,0.17762
0.684,0.18615
0.688,0.18988
0.692,0.19668
0.696,0.12684
0.7,0.17095
0.704,0.1667
0.708,0.1661
0.712,0.14785
0.716,0.16505
0.72,0.11287
0.724,0.06043
0.728,0.05034
0.732,0.05852
0.736,0.06035
0.74,0.05247
0.744,0.03906
0.748,0.05069
0.752,-0.02008
0.756,0.00359
0.76,-0.08463
0.764,-0.10396
0.768,-0.031
0.772,0.0308
0.776,0.13979
0.78,0.2891
0.784,0.5242
0.788,0.7
0.792,0.84892
0.796,0.9858
0.8,0.98485
0.804,0.8233
0.808,0.62905
0.812,0.35112
0.816,0.23346
0.82,-0.02162
0.824,-0.11455
0.828,-0.1886
0.832,-0.18453
0.836,-0.1912
0.84,-0.14565
0.844,-0.1003
0.848,-0.00758
0.852,-0.01989
0.856,-0.00883
0.86,-0.05126
0.864,-0.02728
0.868,-0.01272
0.872,-0.02622
0.876,-0.06878
0.88,0.0216
0.884,0.02809
0.888,0.03156
0.892,0.00239
0.896,0.03375
0.9,0.04057
0.904,0.06929
0.908,0.08215
0.912,0.05124
0.916,0.02663
0.92,0.08412
0.924,0.10373
0.928,0.07603
0.932,0.06588
0.936,0.09957
0.94,0.05539
0.944,0.04041
0.948,-0.00802
0.952,-0.04108
0.956,0.02587
0.96,0.11231
0.964,-0.01018
0.968,-0.02074
0.972,0.03064
0.976,0.02844
0.98,0.04827
0.984,0.0669
0.988,0.0987
0.992,0.07271
0.996,0.01734
1.0,0.00537
1.004,0.02175
1.008,0.03501
1.012,0.04603
1.016,0.03809
1.02,0.12497
1.024,0.1317
1.028,0.11219
1.032,0.09381
1.036,0.1473
1.04,0.12357
1.044,0.04808
1.048,0.09782
1.052,0.0802
1.056,0.09407
1.06,0.29552
1.064,0.45728
1.068,0.74563
1.072,0.86223
1.076,1.03205
1.08,1.16659
1.084,1.18014
1.088,1.11603
1.092,0.90412
1.096,0.68988
1.1,0.42543
1.104,0.29861
1.108,0.11532
1.112,0.01643
1.116,-0.00114
1.12,0.00119
1.124,0.01039
1.128,0.05387
1.132,0.03406
1.136,0.1299
1.14,-0.00071
1.144,0.05387
1.148,0.09579
1.152,0.05775
1.156,0.08393
1.16,0.06173
1.164,0.03019
1.168,0.00397
1.172,0.01712
1.176,0.03337
1.18,-0.05316
1.184,-0.01791
1.188,-0.01658
1.192,0.04706
1.196,0.0238
1.2,-0.01206
1.204,0.05682
1.208,-0.04215
1.212,0.09533
1.216,0.08185
1.22,0.15255
1.224,0.08513
1.228,0.13274
1.232,0.08253
1.236,0.10539
1.24,0.06996
1.244,0.05519
1.248,0.06745
1.252,0.06705
1.256,0.04998
1.26,0.09638
1.264,-0.00055
1.268,0.06921
1.272,0.00342
1.276,0.04698
1.28,0.0841
1.284,0.06273
1.288,0.04925
1.292,0.08635
1.296,0.08369
1.3,0.08236
1.304,0.13963
1.308,0.07621
1.312,0.12347
1.316,0.16139
1.32,0.14182
1.324,0.17998
1.328,0.17162
1.332,0.2308
1.336,0.21926
1.34,0.20819
1.344,0.15115
1.348,0.21508
1.352,0.16192
1.356,0.15243
1.36,0.08597
1.364,0.10701
1.368,0.21284
1.372,0.40836
1.376,0.58055
1.38,0.76103
1.384,0.96636
1.388,1.13946
1.392,1.15899
1.396,1.10267
1.4,1.02536
1.404,0.73394
1.408,0.5276
1.412,0.3286
1.416,0.09549
1.42,-0.02442
1.424,-0.14984
1.428,-0.10088
1.432,-0.03029
1.436,-0.0194
1.44,0.04865
1.444,-0.037
1.448,0.06083
1.452,0.03637
1.456,0.12237
1.46,-0.0071
1.464,0.05137
1.468,0.04199
1.472,0.04128
1.476,0.00225
1.48,-0.01376
1.484,-0.02596
1.488,0.00127
1.492,0.02825
1.496,-0.00054
1.5,0.0186
1.504,0.03785
1.508,-0.03415
1.512,0.02374
1.516,0.09487
1.52,0.07428
1.524,0.02828
1.528,-0.0282
1.532,-0.0249
1.536,0.04375
1.54,-0.0094
1.544,0.00606
1.548,0.00612
1.552,-0.04739
1.556,-0.01148
1.56,0.03728
1.564,-0.01608
1.568,0.04697
1.572,0.01419
1.576,0.038
1.58,0.03108
1.584,0.11529
1.588,0.07027
1.592,0.04065
1.596,0.05023
1.6,0.0987
1.604,0.01902
1.608,0.07581
1.612,0.05956
1.616,0.10375
1.62,0.10251
1.624,0.13896
1.628,0.0828
1.632,0.23642
1.636,0.14924
1.64,0.1359
1.644,0.24008
1.648,0.2323
1.652,0.23327
1.656,0.21057
1.66,0.16023
1.664,0.21316
1.668,0.20479
1.672,0.23144
1.676,0.21429
1.68,0.37012
1.684,0.23432
1.688,0.22497
1.692,0.13652
1.696,0.22236
1.7,0.19675
1.704,0.14037
1.708,0.1055
1.712,0.18111
1.716,0.16411
1.72,0.15025
1.724,0.09317
1.728,0.10238
1.732,0.06592
1.736,0.10691
1.74,0.13886
1.744,0.05408
1.748,0.06956
1.752,0.04665
1.756,0.0346
1.76,0.08821
1.764,0.03258
1.768,0.10143
1.772,0.03298
1.776,0.00792
1.78,-0.00272
1.784,-0.01987
