t_seg,ecg_mV
0.0,-0.01171
0.004,-0.0134
0.008,-0.03896
0.012,-0.00826
0.016,-0.03466
0.02,-0.04319
0.024,-0.03861
0.028,-0.00136
0.032,-0.01132
0.036,-0.03843
0.04,-0.02342
0.044,-0.04339
0.048,-0.03547
0.052,-0.0338
0.056,-0.0626
0.06,-0.02255
0.064,-0.03996
0.068,-0.04306
0.072,0.00809
0.076,-0.03805
0.08,-0.02952
0.084,-0.04279
0.088,-0.02596
0.092,-0.06213
0.096,-0.04127
0.1,-0.03261
0.104,-0.02733
0.108,-0.04188
0.112,-0.0212
0.116,-0.02302
0.12,-0.05171
0.124,-0.0305
0.128,-0.03187
0.132,-0.01675
0.136,-0.02153
0.14,-0.02986
0.144,-0.03989
0.148,-0.04514
0.152,-0.02034
0.156,-0.03474
0.16,-0.02317
0.164,-0.04107
0.168,-0.0062
0.172,-0.00288
0.176,-0.02405
0.18,-0.05153
0.184,-0.03465
0.188,-0.01591
0.192,-0.03937
0.196,-0.03861
0.2,-0.03783
0.204,-0.01053
0.208,-0.02586
0.212,-0.02884
0.216,-0.0195
0.22,-0.04262
0.224,-0.0362
0.228,-0.00763
0.232,-0.05993
0.236,-0.02581
0.24,-0.0438
0.244,-0.06481
0.248,-0.04267
0.252,-0.00843
0.256,-0.04194
0.26,-0.04253
0.264,-0.03148
0.268,-0.01775
0.272,-0.03913
0.276,-0.0444
0.28,-0.0415
0.284,-0.01955
0.288,-0.02495
0.292,-0.00435
0.296,-0.04873
0.3,-0.02019
0.304,-0.00505
0.308,-0.03013
0.312,-0.05968
0.316,-0.02822
0.32,-0.04957
0.324,-0.04544
0.328,-0.02794
0.332,-0.04725
0.336,-0.02851
0.34,-0.04282
0.344,-0.0125
0.348,-0.03966
0.352,-0.0557
0.356,-0.03966
0.36,0.00318
0.364,-0.04244
0.368,-0.03639
0.372,0.01325
0.376,-0.04936
0.38,0.01051
0.384,-0.01717
0.388,-0.02567
0.392,-0.04671
0.396,-0.02228
0.4,-0.03228
0.404,-0.00728
0.408,-0.02047
0.412,-0.01964
0.416,-0.00445
0.42,-0.02432
0.424,0.00278
0.428,-0.02937
0.432,0.01054
0.436,0.01807
0.44,0.01126
0.444,0.00838
0.448,0.06325
0.452,0.05588
0.456,0.05288
0.46,0.07201
0.464,0.04968
0.468,0.06844
0.472,0.0734
0.476,0.05896
0.48,0.05648
0.484,0.04033
0.488,0.01878
0.492,0.03275
0.496,-0.0028
0.5,-0.0099
0.504,-0.01496
0.508,-0.01409
0.512,-0.0069
0.516,-0.03225
0.52,-0.00807
0.524,-0.00847
0.528,-0.05681
0.532,-0.01227
0.536,-0.00442
0.54,-0.03695
0.544,-0.03267
0.548,-0.03214
0.552,-0.05126
0.556,-0.03916
0.56,-0.01478
0.564,-0.01114
0.568,-0.03951
0.572,-0.03128
0.576,-0.04614
0.58,-0.05416
0.584,-0.11137
0.588,-0.14128
0.592,-0.16604
0.596,-0.10392
0.6,0.02248
0.604,0.17636
0.608,0.36744
0.612,0.54602
0.616,0.77729
0.62,0.94099
0.624,0.97321
0.628,0.89811
0.632,0.74158
0.636,0.55578
0.64,0.30738
0.644,0.07071
0.648,-0.07425
0.652,-0.17415
0.656,-0.19141
0.66,-0.19069
0.664,-0.13902
0.668,-0.10267
0.672,-0.06718
0.676,-0.0583
0.68,-0.0425
0.684,-0.01909
0.688,-0.05497
0.692,-0.05293
0.696,-0.01936
0.7,-0.0612
0.704,-0.02939
0.708,-0.02522
0.712,-0.03529
0.716,0.01271
0.72,-0.03506
0.724,-0.03555
0.728,-0.02093
0.732,-0.03891
0.736,-0.0401
0.74,-0.01402
0.744,-0.02831
0.748,-0.01732
0.752,-0.02074
0.756,-0.03497
0.76,-0.03143
0.764,-0.02174
0.768,-0.00697
0.772,-0.02768
0.776,-0.01783
0.78,-0.04207
0.784,-0.00394
0.788,-0.00288
0.792,-0.02956
0.796,-0.00586
0.8,-0.01027
0.804,-0.01265
0.808,-0.00507
0.812,0.01359
0.816,0.00767
0.82,0.0286
0.824,0.02806
0.828,0.02399
0.832,0.03808
0.836,0.0544
0.84,0.05662
0.844,0.05897
0.848,0.08607
0.852,0.10137
0.856,0.09511
0.86,0.1056
0.864,0.1232
0.868,0.13711
0.872,0.13449
0.876,0.15457
0.88,0.16531
0.884,0.17987
0.888,0.1799
0.892,0.19063
0.896,0.19674
0.9,0.19197
0.904,0.1722
0.908,0.20302
0.912,0.186
0.916,0.19553
0.92,0.19111
0.924,0.20059
0.928,0.18819
0.932,0.15716
0.936,0.1461
0.94,0.15019
0.944,0.1298
0.948,0.11804
0.952,0.09257
0.956,0.06513
0.96,0.08659
0.964,0.06628
0.968,0.05406
0.972,0.05591
0.976,0.02236
0.98,0.02469
0.984,0.02147
0.988,0.016
0.992,0.04218
0.996,-0.008
1.0,0.00279
1.004,0.013
1.008,0.02843
1.012,-0.02353
1.016,0.00077
1.02,0.005
1.024,-0.02543
1.028,-0.00783
1.032,-0.01382
1.036,-0.03618
1.04,-0.02469
1.044,0.01872
1.048,-0.0514
1.052,-0.02802
1.056,-0.02375
1.06,-0.00707
1.064,-0.00061
1.068,-0.01276
1.072,-0.02623
1.076,-0.03425
1.08,-0.04829
1.084,-0.00396
1.088,-0.01306
1.092,-0.01964
1.096,-0.01905
1.1,-0.03262
1.104,-0.03562
1.108,-0.01285
1.112,-0.01874
1.116,-0.03388
1.12,-0.03689
1.124,-0.02812
1.128,-0.05756
1.132,-0.0206
1.136,-0.02984
1.14,-0.02553
1.144,-0.01704
1.148,-0.04227
1.152,-0.01186
1.156,-0.00198
1.16,-0.0108
1.164,-0.01229
1.168,-0.01412
1.172,0.0034
1.176,-0.01563
1.18,-0.04049
1.184,-0.04564
1.188,-0.04044
1.192,-0.04071
1.196,0.00467
1.2,-0.02178
1.204,0.00472
1.208,0.00499
1.212,-0.02521
1.216,-0.00899
1.22,-0.01861
1.224,-0.0267
1.228,0.02093
1.232,-0.0318
1.236,-0.00531
1.24,-0.03467
1.244,-0.01343
1.248,-0.00598
1.252,-0.02071
1.256,-0.03112
1.26,-0.02113
1.264,-0.0128
1.268,-0.00933
1.272,-0.02334
1.276,0.00982
1.28,-0.02952
1.284,-0.04851
1.288,0.00104
1.292,0.00998
1.296,0.00167
1.3,-0.0372
1.304,0.00173
1.308,-0.02942
1.312,-0.01206
1.316,-0.02361
1.32,-0.02089
1.324,-0.02152
1.328,-0.0221
1.332,0.00759
1.336,-0.0217
1.34,-0.00861
1.344,-0.01925
1.348,-0.01376
1.352,-0.01588
1.356,-0.01723
1.36,-0.03312
1.364,-0.00441
1.368,0.0006
1.372,-0.0512
1.376,-0.01271
1.38,-0.02573
1.384,-0.04349
1.388,-0.0129
1.392,-0.00587
1.396,-0.02052
1.4,-0.00504
1.404,-0.0299
1.408,-0.0037
1.412,-0.01957
1.416,-0.0151
1.42,-0.01676
1.424,-0.00361
1.428,-0.02256
1.432,-0.00108
1.436,-0.03754
1.44,-0.02605
1.444,-0.0054
1.448,0.02116
1.452,0.0064
1.456,0.00878
1.46,-0.00155
1.464,-0.03097
1.468,-0.01827
1.472,-0.02408
1.476,-0.01518
1.48,-0.01339
1.484,-0.02908
1.488,-0.00554
1.492,-0.02346
1.496,-0.01904
1.5,-0.02601
1.504,-0.02033
1.508,-0.01205
1.512,-0.02447
1.516,-0.02261
1.52,0.00136
1.524,-0.0103
1.528,-0.00576
1.532,0.01661
1.536,0.02608
1.54,-0.01301
1.544,0.0044
1.548,0.06178
1.552,0.04737
1.556,0.09597
1.56,0.06609
1.564,0.07117
1.568,0.09685
1.572,0.07962
1.576,0.07971
1.58,0.1019
1.584,0.07549
1.588,0.07935
1.592,0.09626
1.596,0.07626
1.6,0.02901
1.604,0.01495
1.608,0.00133
1.612,0.00177
1.616,0.00508
1.62,0.02833
1.624,-0.01807
1.628,0.0124
1.632,-0.00423
1.636,0.00033
1.64,-0.00441
1.644,-0.02552
1.648,-0.00884
1.652,-0.00577
1.656,-0.01521
1.66,0.0066
1.664,-0.02817
1.668,0.00333
1.672,0.01265
1.676,-0.00666
1.68,-0.01823
1.684,-0.01152
1.688,-0.02721
1.692,-0.04994
1.696,-0.07422
1.7,-0.11446
1.704,-0.12426
1.708,-0.03985
1.712,0.08514
1.716,0.22519
1.72,0.46544
1.724,0.6602
1.728,0.86838
1.732,0.99494
1.736,0.9602
1.74,0.8646
1.744,0.7176
1.748,0.47041
1.752,0.25229
1.756,0.02607
1.76,-0.08021
1.764,-0.16053
1.768,-0.15963
1.772,-0.13415
1.776,-0.08862
1.78,-0.08651
1.784,-0.03561
1.788,-0.03327
1.792,0.00393
1.796,-0.0039
1.8,0.01751
1.804,0.00794
1.808,-0.01404
1.812,-0.00235
1.816,-0.00262
1.82,-0.00788
1.824,-0.01332
1.828,0.00417
1.832,-0.00158
1.836,-0.0147
1.84,-0.03131
1.844,-0.00148
1.848,-0.00789
1.852,0.01811
1.856,0.01539
1.86,0.01601
1.864,-0.01494
1.868,-0.00304
1.872,0.00242
1.876,-0.03101
1.88,0.01028
1.884,0.01814
1.888,-0.00666
1.892,0.02257
1.896,0.01184
1.9,-0.00512
1.904,-0.00404
1.908,0.01952
1.912,0.02721
1.916,0.04426
1.92,0.03403
1.924,0.04142
1.928,0.04052
1.932,0.05193
1.936,0.04177
1.94,0.05841
1.944,0.06439
1.948,0.07774
1.952,0.07333
1.956,0.09456
1.96,0.10785
1.964,0.13121
