t_seg,ecg_mV
0.0,0.01942
0.004,0.04447
0.008,0.02716
0.012,0.0235
0.016,0.03305
0.02,-0.01078
0.024,-0.00479
0.028,0.0021
0.032,-0.00074
0.036,-0.02087
0.04,0.00519
0.044,-0.00051
0.048,0.01
0.052,0.00561
0.056,0.0118
0.06,0.00718
0.064,-0.01186
0.068,0.00289
0.072,-0.00139
0.076,-0.00851
0.08,-0.0093
0.084,-0.05687
0.088,-0.06648
0.092,-0.08747
0.096,-0.10956
0.1,-0.04893
0.104,0.01896
0.108,0.20063
0.112,0.3873
0.116,0.56109
0.12,0.81076
0.124,0.95403
0.128,0.97924
0.132,0.92956
0.136,0.80472
0.14,0.55032
0.144,0.33513
0.148,0.13791
0.152,-0.04821
0.156,-0.12779
0.16,-0.16793
0.164,-0.13513
0.168,-0.10942
0.172,-0.08271
0.176,-0.02273
0.18,-0.00596
0.184,-0.01231
0.188,-0.00205
0.192,-0.02306
0.196,-0.02645
0.2,-0.00308
0.204,-0.0092
0.208,0.01005
0.212,0.00922
0.216,-0.015
0.22,0.01299
0.224,0.02432
0.228,-0.01019
0.232,0.00959
0.236,0.00732
0.24,-0.0155
0.244,0.00923
0.248,-0.00397
0.252,0.00677
0.256,0.0163
0.26,0.02845
0.264,0.02612
0.268,0.00072
0.272,0.01126
0.276,0.03049
0.28,0.01364
0.284,-0.00172
0.288,0.02989
0.292,0.02001
0.296,0.02128
0.3,0.01521
0.304,0.03597
0.308,0.0238
0.312,0.03651
0.316,0.0185
0.32,0.04841
0.324,0.04239
0.328,0.06081
0.332,0.06478
0.336,0.06698
0.34,0.08689
0.344,0.08933
0.348,0.09322
0.352,0.09527
0.356,0.12786
0.36,0.15742
0.364,0.12533
0.368,0.16233
0.372,0.1867
0.376,0.16262
0.38,0.15674
0.384,0.22389
0.388,0.19342
0.392,0.21279
0.396,0.24384
0.4,0.25052
0.404,0.21654
0.408,0.2328
0.412,0.22279
0.416,0.21369
0.42,0.261
0.424,0.22178
0.428,0.21908
0.432,0.20475
0.436,0.17499
0.44,0.17386
0.444,0.18903
0.448,0.15675
0.452,0.15011
0.456,0.13125
0.46,0.1442
0.464,0.1122
0.468,0.10151
0.472,0.10111
0.476,0.11888
0.48,0.07867
0.484,0.06709
0.488,0.0732
0.492,0.00806
0.496,0.04914
0.5,0.03972
0.504,0.03849
0.508,0.02819
0.512,0.04563
0.516,0.00319
0.52,0.00353
0.524,0.02551
0.528,0.00073
0.532,0.01805
0.536,0.03212
0.54,0.03089
0.544,0.00408
0.548,0.02718
0.552,0.01712
0.556,0.02979
0.56,0.00403
0.564,0.02389
0.568,0.02263
0.572,-0.01355
0.576,0.01554
0.58,0.00461
0.584,-0.0131
0.588,0.02595
0.592,0.038
0.596,0.0321
0.6,0.01896
0.604,0.01781
0.608,-0.00729
0.612,0.01556
0.616,-0.00659
0.62,0.01036
0.624,-2e-05
0.628,0.00715
0.632,0.00647
0.636,0.03479
0.64,0.01561
0.644,0.02038
0.648,0.00655
0.652,0.01204
0.656,0.00479
0.66,0.04025
0.664,0.00493
0.668,0.00053
0.672,0.04551
0.676,-0.00358
0.68,0.00423
0.684,0.04827
0.688,0.01751
0.692,0.03686
0.696,-0.01123
0.7,0.05501
0.704,-0.00446
0.708,0.02449
0.712,0.00929
0.716,0.00896
0.72,0.03099
0.724,0.04897
0.728,0.01205
0.732,0.03838
0.736,0.05173
0.74,0.01421
