t_seg,ecg_mV
0.0,0.01005
0.004,-0.02371
0.008,-0.02708
0.012,-0.01443
0.016,-0.01912
0.02,-0.0243
0.024,-0.01438
0.028,-0.02998
0.032,-0.00397
0.036,-0.02858
0.04,0.00037
0.044,-0.0141
0.048,0.01065
0.052,0.00136
0.056,0.00254
0.06,-0.02831
0.064,-0.01463
0.068,-0.01977
0.072,-0.01797
0.076,-0.02028
0.08,-0.01005
0.084,-0.0261
0.088,-0.03073
0.092,-0.02267
0.096,-0.01695
0.1,0.02839
0.104,-0.02927
0.108,0.01923
0.112,0.02452
0.116,0.04119
0.12,0.05017
0.124,0.03841
0.128,0.02699
0.132,0.07768
0.136,0.08126
0.14,0.04285
0.144,0.08288
0.148,0.05896
0.152,0.06471
0.156,0.05305
0.16,0.07651
0.164,0.04148
0.168,0.04899
0.172,0.03518
0.176,-0.00635
0.18,-0.01139
0.184,0.01784
0.188,0.01076
0.192,-0.01525
0.196,-0.0295
0.2,0.0134
0.204,0.00908
0.208,-0.02086
0.212,-0.04296
0.216,-0.00333
0.22,-0.03429
0.224,-0.02046
0.228,-0.01637
0.232,0.00484
0.236,-0.02397
0.24,-0.00601
0.244,-0.00692
0.248,-0.03201
0.252,-0.03246
0.256,-0.06292
0.26,-0.02204
0.264,-0.09658
0.268,-0.11691
0.272,-0.1346
0.276,-0.08982
0.28,-0.00963
0.284,0.15977
0.288,0.32546
0.292,0.53991
0.296,0.78197
0.3,0.91515
0.304,1.0103
0.308,0.93298
0.312,0.7854
0.316,0.55354
0.32,0.33353
0.324,0.12918
0.328,-0.03086
0.332,-0.14764
0.336,-0.1514
0.34,-0.17658
0.344,-0.13011
0.348,-0.10582
0.352,-0.05787
0.356,-0.05736
0.36,-0.03099
0.364,-0.01421
0.368,-0.0499
0.372,-0.02858
0.376,-0.01464
0.38,-0.03321
0.384,-0.02507
0.388,0.00996
0.392,-0.03008
0.396,-0.01856
0.4,-0.0273
0.404,-0.01596
0.408,-0.0308
0.412,-0.01239
0.416,-0.02555
0.42,-0.0395
0.424,-0.0186
0.428,-0.04195
0.432,-0.0194
0.436,-0.01641
0.44,-0.02973
0.444,-0.04246
0.448,-0.02998
0.452,-0.04681
0.456,-0.00222
0.46,-0.00875
0.464,-0.01409
0.468,-0.03334
0.472,-0.00798
0.476,-0.02162
0.48,-0.0286
0.484,0.02481
0.488,0.00473
0.492,-0.00822
0.496,0.04463
0.5,0.01767
0.504,-0.02221
0.508,0.05037
0.512,0.02172
0.516,0.02967
0.52,0.05324
0.524,0.07469
0.528,0.09008
0.532,0.0891
0.536,0.13294
0.54,0.09671
0.544,0.1063
0.548,0.11678
0.552,0.1485
0.556,0.15114
0.56,0.17528
0.564,0.14821
0.568,0.19388
0.572,0.20295
0.576,0.20862
0.58,0.19295
0.584,0.18946
0.588,0.19449
0.592,0.19166
0.596,0.19258
0.6,0.1641
0.604,0.16807
0.608,0.15353
0.612,0.15528
0.616,0.18361
0.62,0.12851
0.624,0.12118
0.628,0.10982
0.632,0.10593
0.636,0.08037
0.64,0.05554
0.644,0.08249
0.648,0.02195
0.652,0.04925
0.656,-0.00096
0.66,0.03439
0.664,0.04137
0.668,0.02418
0.672,-0.02894
0.676,-0.00345
0.68,-0.00873
0.684,-0.00847
0.688,-0.00572
0.692,0.00593
0.696,-0.01586
0.7,-0.00741
0.704,-0.02151
0.708,-0.02461
0.712,-0.01862
0.716,-0.02957
0.72,-0.05178
0.724,-0.002
0.728,-0.02227
0.732,-0.04467
0.736,-0.02022
0.74,-0.04265
0.744,-0.04917
0.748,-0.02526
0.752,-0.02498
0.756,-0.00929
0.76,-0.03705
0.764,-0.03319
0.768,-0.05886
0.772,-0.00976
0.776,-0.01964
0.78,-0.02499
0.784,-0.04429
0.788,-0.04277
0.792,-0.04152
0.796,-0.01517
0.8,-0.01993
0.804,-0.01687
0.808,-0.03307
0.812,0.00208
0.816,-0.03595
0.82,-0.04471
0.824,-0.02753
0.828,-0.03849
0.832,-0.03542
0.836,-0.05145
0.84,-0.02874
0.844,-0.01901
0.848,-0.01957
0.852,-0.03568
0.856,-0.04139
0.86,-0.03019
0.864,-0.02147
0.868,-0.01289
0.872,-0.0321
0.876,-0.05695
0.88,-0.04133
0.884,-0.01793
0.888,-0.02715
0.892,-0.02957
0.896,-0.02325
0.9,-0.03459
0.904,-0.03578
0.908,-0.0158
0.912,-0.03193
0.916,-0.03583
0.92,0.01083
0.924,-0.01282
0.928,-0.02585
0.932,0.00722
0.936,0.0001
0.94,0.01159
0.944,0.054
0.948,0.03516
0.952,0.06297
0.956,0.06439
0.96,0.06131
0.964,0.06059
0.968,0.06531
0.972,0.08408
0.976,0.06874
0.98,0.03332
0.984,0.03194
0.988,0.00826
0.992,-0.00078
0.996,-0.01416
1.0,0.0218
1.004,-0.00805
1.008,-0.0294
1.012,-0.01871
1.016,-0.01831
1.02,-0.00665
1.024,-0.03446
1.028,-0.00354
1.032,-0.03871
1.036,-0.02442
1.04,-0.02753
1.044,-0.02246
1.048,-0.03192
1.052,-0.03126
1.056,-0.05601
1.06,-0.00947
1.064,-0.00844
1.068,-0.0416
1.072,-0.04253
1.076,-0.0296
1.08,-0.04684
1.084,-0.07844
1.088,-0.13084
1.092,-0.13385
1.096,-0.15556
1.1,-0.06188
1.104,0.113
1.108,0.30427
1.112,0.51315
1.116,0.74202
1.12,0.88788
1.124,0.95771
1.128,0.95116
1.132,0.78078
1.136,0.59909
1.14,0.37095
1.144,0.15026
1.148,-0.03049
1.152,-0.14683
1.156,-0.23595
1.16,-0.17768
1.164,-0.16695
1.168,-0.11213
1.172,-0.07419
1.176,-0.03641
1.18,-0.03663
1.184,-0.02398
1.188,-0.03176
1.192,-0.0299
1.196,-0.04954
1.2,-0.03282
1.204,-0.02907
1.208,-0.02321
1.212,-0.01224
1.216,-0.0153
1.22,-0.03525
1.224,-0.04188
1.228,-0.0443
1.232,-0.01013
1.236,-0.00865
1.24,-0.00422
1.244,-0.02262
1.248,-0.0326
1.252,-0.03212
1.256,-0.02195
1.26,-0.0167
1.264,-0.05851
1.268,-0.03923
1.272,-0.04399
1.276,-0.00372
1.28,0.01588
1.284,-0.01705
1.288,-0.02844
1.292,-0.03219
1.296,0.00531
1.3,-0.01227
1.304,-0.01051
1.308,0.01669
1.312,-0.00551
1.316,0.00745
1.32,0.0336
1.324,0.00102
1.328,0.00643
1.332,0.02528
1.336,0.0515
1.34,0.05303
1.344,0.05162
1.348,0.05711
1.352,0.07253
1.356,0.1007
1.36,0.09324
1.364,0.10785
1.368,0.12809
1.372,0.13397
1.376,0.11295
1.38,0.17599
1.384,0.17578
1.388,0.17559
1.392,0.17876
1.396,0.18879
1.4,0.19043
1.404,0.18467
1.408,0.1808
1.412,0.18225
1.416,0.19831
1.42,0.18453
1.424,0.15842
1.428,0.17047
1.432,0.18111
1.436,0.14745
1.44,0.10922
1.444,0.12395
1.448,0.11706
1.452,0.10536
1.456,0.08294
1.46,0.09325
1.464,0.06603
1.468,0.03578
1.472,0.03788
1.476,0.06218
1.48,-0.01246
1.484,-0.00105
1.488,0.02459
1.492,0.00558
1.496,0.00893
1.5,-0.00193
1.504,-0.0133
1.508,-0.00522
1.512,0.01299
1.516,-0.02467
1.52,-0.00328
1.524,-0.02721
1.528,-0.01206
1.532,-0.02126
1.536,-0.01637
1.54,-0.00239
1.544,-0.0291
1.548,-0.02556
1.552,-0.03012
1.556,-0.02445
1.56,-0.00272
1.564,0.00186
1.568,-0.01321
1.572,-0.04348
1.576,-0.00708
1.58,-0.02278
1.584,-0.0354
1.588,-0.01023
1.592,-0.03871
1.596,-0.05726
1.6,-0.05122
1.604,0.01309
1.608,-0.02131
1.612,-0.02832
1.616,-0.03098
1.62,-0.04008
1.624,0.00187
1.628,-0.02541
1.632,-0.0329
1.636,-0.04044
1.64,-0.0227
1.644,-0.02693
1.648,-0.03698
1.652,-0.04316
1.656,-0.02524
1.66,-0.02571
1.664,-0.01964
1.668,-0.02742
1.672,-0.01727
1.676,-0.0388
1.68,-0.01941
1.684,-0.04124
1.688,-0.03701
1.692,-0.06155
1.696,-0.03244
1.7,-0.04317
1.704,-0.01994
1.708,-0.02201
1.712,-0.0277
1.716,-3e-05
1.72,-0.0163
1.724,-0.0566
1.728,-0.02991
1.732,-0.03518
1.736,-0.02977
1.74,-0.02651
1.744,-0.02017
1.748,-0.0486
1.752,-0.0037
1.756,0.01193
1.76,0.00964
1.764,0.0384
1.768,0.0312
1.772,0.04511
1.776,0.07429
1.78,0.07787
1.784,0.04273
1.788,0.04218
1.792,0.07351
1.796,0.06706
1.8,0.06934
1.804,0.03477
1.808,0.01995
1.812,0.01854
1.816,0.00523
1.82,0.01335
1.824,-0.01165
1.828,-0.02
1.832,0.01304
1.836,-0.01586
1.84,-0.0335
1.844,-0.04828
1.848,-0.00218
1.852,-0.01306
1.856,-0.02396
1.86,-0.02245
1.864,-0.0346
1.868,-0.03372
1.872,-0.02708
1.876,-0.02364
1.88,-0.03461
1.884,-0.03522
1.888,-0.04934
1.892,-0.05107
1.896,-0.04215
1.9,-0.06391
1.904,-0.08955
1.908,-0.12324
1.912,-0.13469
1.916,-0.15389
1.92,-0.06457
1.924,0.09071
1.928,0.24398
1.932,0.47844
1.936,0.68413
1.94,0.86762
1.944,0.9651
1.948,0.94298
1.952,0.83408
1.956,0.62426
1.96,0.36903
1.964,0.19166
1.968,-0.02306
1.972,-0.12811
1.976,-0.19086
1.98,-0.14643
1.984,-0.15708
1.988,-0.10989
1.992,-0.06294
1.996,-0.06364
2.0,-0.03978
2.004,-0.0315
2.008,-0.01906
2.012,-0.00266
2.016,-0.02092
2.02,-0.01905
2.024,-0.00264
2.028,-0.03369
2.032,-0.0154
