t_seg,ecg_mV
0.0,-0.00567
0.004,-0.01195
0.008,-0.02303
0.012,0.01534
0.016,-0.02846
0.02,-0.01367
0.024,-0.01709
0.028,-0.03087
0.032,-0.04835
0.036,-0.04816
0.04,-0.03148
0.044,-0.00922
0.048,-0.02586
0.052,-0.01267
0.056,-0.02093
0.06,-0.02378
0.064,-0.0033
0.068,-0.01934
0.072,-0.03836
0.076,-0.03205
0.08,-0.00587
0.084,0.00268
0.088,-0.02836
0.092,0.00973
0.096,-0.02034
0.1,-0.01917
0.104,-0.03691
0.108,-0.00347
0.112,0.02028
0.116,-0.02737
0.12,-0.01554
0.124,-0.00098
0.128,-0.02432
0.132,0.00496
0.136,-0.00412
0.14,-0.03765
0.144,-0.02449
0.148,0.01195
0.152,-0.0044
0.156,0.00925
0.16,-0.00042
0.164,0.00971
0.168,-0.02164
0.172,-0.02183
0.176,-0.01507
0.18,0.00715
0.184,-0.02837
0.188,-0.00256
0.192,-0.00249
0.196,-0.01262
0.2,-0.01131
0.204,-0.02271
0.208,-0.01043
0.212,-0.02904
0.216,-0.04677
0.22,0.00484
0.224,0.01029
0.228,-0.00546
0.232,-0.04052
0.236,-0.01664
0.24,-0.01003
0.244,-0.00517
0.248,-0.05725
0.252,0.00317
0.256,-0.00698
0.26,-0.01854
0.264,0.00284
0.268,0.02489
0.272,0.0679
0.276,0.02864
0.28,0.03865
0.284,0.08785
0.288,0.07524
0.292,0.02986
0.296,0.08482
0.3,0.0712
0.304,0.06582
0.308,0.07052
0.312,0.07199
0.316,0.0521
0.32,0.02327
0.324,-0.00081
0.328,0.02918
0.332,0.01342
0.336,0.00478
0.34,0.01826
0.344,-0.03778
0.348,-0.01165
0.352,-0.0186
0.356,-0.01515
0.36,-0.00123
0.364,-0.00775
0.368,0.01188
0.372,-0.00952
0.376,-0.00981
0.38,-0.01872
0.384,-0.01601
0.388,-0.0091
0.392,0.00365
0.396,-0.00228
0.4,-0.01225
0.404,-0.02859
0.408,0.00048
0.412,-0.04529
0.416,-0.07437
0.42,-0.11137
0.424,-0.11487
0.428,-0.10804
0.432,-0.02608
0.436,0.1214
0.44,0.32726
0.444,0.55068
0.448,0.71752
0.452,0.89494
0.456,0.99096
0.46,0.92647
0.464,0.77937
0.468,0.59532
0.472,0.36963
0.476,0.16199
0.48,-0.00241
0.484,-0.1341
0.488,-0.14747
0.492,-0.1692
0.496,-0.14929
0.5,-0.08089
0.504,-0.05595
0.508,-0.02993
0.512,-0.00485
0.516,-0.01522
0.52,-0.00435
0.524,-0.00049
0.528,-0.00968
0.532,-0.02537
0.536,-0.02303
0.54,-0.02016
0.544,0.00973
0.548,0.03435
0.552,-0.02868
0.556,0.00037
0.56,-0.00519
0.564,-0.00632
0.568,-0.01184
0.572,0.00875
0.576,0.00313
0.58,-0.01578
0.584,0.00382
0.588,0.0045
0.592,-0.01147
0.596,-0.0038
0.6,0.00719
0.604,-0.01189
0.608,0.02587
0.612,0.02141
0.616,-0.0008
0.62,-0.01774
0.624,-0.01639
0.628,-0.00884
0.632,0.00058
0.636,-0.01221
0.64,0.00346
0.644,0.04958
0.648,0.02705
0.652,0.008
0.656,0.04978
0.66,0.05968
0.664,0.03264
0.668,0.0478
0.672,0.08841
0.676,0.09815
0.68,0.10096
0.684,0.08352
0.688,0.12573
0.692,0.10222
0.696,0.15375
0.7,0.14926
0.704,0.15527
0.708,0.18208
0.712,0.16883
0.716,0.19552
0.72,0.20777
0.724,0.21333
0.728,0.20054
0.732,0.22706
0.736,0.2358
0.74,0.22945
0.744,0.19391
0.748,0.22615
0.752,0.20391
0.756,0.2185
0.76,0.17667
0.764,0.19739
0.768,0.16523
0.772,0.16533
0.776,0.1611
0.78,0.17168
0.784,0.14162
0.788,0.1168
0.792,0.10779
0.796,0.09436
0.8,0.08736
0.804,0.07623
0.808,0.08463
0.812,0.03958
0.816,0.04611
0.82,0.05563
0.824,0.04795
0.828,0.05072
0.832,0.06232
0.836,0.04987
0.84,0.05871
0.844,0.06568
0.848,0.1041
0.852,0.11717
0.856,0.08421
0.86,0.08329
0.864,0.10932
0.868,0.1051
0.872,0.08893
0.876,0.0794
0.88,0.0701
0.884,0.05197
0.888,0.04468
0.892,0.02944
0.896,0.02402
0.9,0.02559
0.904,-0.00084
0.908,0.00885
0.912,0.01646
0.916,-0.00393
0.92,0.02582
0.924,-0.00291
0.928,-0.00946
0.932,0.01613
0.936,0.00899
0.94,0.00563
0.944,-0.01897
0.948,-0.0038
0.952,-0.01099
0.956,0.01313
0.96,-0.00553
0.964,-0.00886
0.968,0.02041
0.972,-0.02027
0.976,-0.00817
0.98,-0.01516
0.984,-0.04467
0.988,-0.08863
0.992,-0.09706
0.996,-0.07515
1.0,0.03784
1.004,0.23885
1.008,0.41594
1.012,0.63506
1.016,0.8188
1.02,0.96147
1.024,1.00412
1.028,0.91473
1.032,0.74826
1.036,0.5357
1.04,0.28212
1.044,0.1093
1.048,-0.07033
1.052,-0.13546
1.056,-0.15081
1.06,-0.1475
1.064,-0.11642
1.068,-0.05347
1.072,-0.02337
1.076,-0.00826
1.08,0.01203
1.084,-0.00279
1.088,0.01085
1.092,-0.01293
1.096,0.01421
1.1,0.00171
1.104,0.02319
1.108,0.01506
1.112,0.01579
1.116,-0.00064
1.12,0.00641
1.124,0.01624
1.128,0.01983
1.132,0.02541
1.136,0.01845
1.14,0.02829
1.144,0.00395
1.148,0.00399
1.152,-0.00291
