t_seg,ecg_mV
0.0,0.0657
0.004,0.06743
0.008,0.07272
0.012,0.07738
0.016,0.06845
0.02,0.08234
0.024,0.04235
0.028,0.05771
0.032,0.02938
0.036,0.03504
0.04,0.01681
0.044,0.01164
0.048,0.01862
0.052,-0.00176
0.056,-0.00947
0.06,-0.02448
0.064,-0.02934
0.068,-0.03181
0.072,-0.04554
0.076,-0.03599
0.08,-0.01452
0.084,-0.02504
0.088,-0.02797
0.092,-0.03404
0.096,-0.01297
0.1,-0.00234
0.104,-0.02035
0.108,0.0113
0.112,-0.02621
0.116,-0.03814
0.12,-0.01592
0.124,-0.06632
0.128,-0.07704
0.132,-0.12924
0.136,-0.14018
0.14,-0.11219
0.144,-0.06642
0.148,0.07708
0.152,0.27404
0.156,0.47966
0.16,0.68383
0.164,0.86801
0.168,0.96382
0.172,0.97011
0.176,0.86966
0.18,0.67024
0.184,0.40879
0.188,0.18508
0.192,0.03371
0.196,-0.11129
0.2,-0.17104
0.204,-0.18581
0.208,-0.17387
0.212,-0.11283
0.216,-0.09473
0.22,-0.08139
0.224,-0.06865
0.228,-0.05547
0.232,-0.00661
0.236,-0.02382
0.24,-0.02303
0.244,-0.02776
0.248,-0.03081
0.252,-0.02175
0.256,-0.02032
0.26,0.00044
0.264,-0.02692
0.268,-0.03825
0.272,-0.04905
0.276,-0.02025
0.28,-0.03488
0.284,-0.02818
0.288,-0.01364
0.292,-0.02327
0.296,-0.03339
0.3,-0.02524
0.304,-0.02588
0.308,0.00016
0.312,-0.01941
0.316,-0.01608
0.32,-0.0285
0.324,-0.04923
0.328,-0.02612
0.332,-0.00993
0.336,-0.02473
0.34,-0.00696
0.344,0.00282
0.348,-0.02548
0.352,-0.02223
0.356,-0.01579
0.36,0.00284
0.364,0.00935
0.368,0.02757
0.372,0.03716
0.376,0.05009
0.38,0.05867
0.384,0.03553
0.388,0.07636
0.392,0.06549
0.396,0.07716
0.4,0.09057
0.404,0.11888
0.408,0.10773
0.412,0.12386
0.416,0.1618
0.42,0.14393
0.424,0.16118
0.428,0.18461
0.432,0.16947
0.436,0.19276
0.44,0.19365
0.444,0.19875
0.448,0.16524
0.452,0.206
0.456,0.22681
0.46,0.21328
0.464,0.18866
0.468,0.1778
0.472,0.15299
0.476,0.16816
0.48,0.14917
0.484,0.13115
0.488,0.12377
0.492,0.14605
0.496,0.11522
0.5,0.1048
0.504,0.0824
0.508,0.06505
0.512,0.03223
0.516,0.04694
0.52,0.04173
0.524,0.03091
0.528,0.03851
0.532,-2e-05
0.536,0.03002
0.54,-0.01088
0.544,-0.02162
0.548,-0.00405
0.552,-0.00742
0.556,-0.00691
0.56,-0.03449
0.564,-0.04268
0.568,-0.01063
0.572,0.0078
0.576,-0.03004
0.58,-0.01907
0.584,-0.0406
0.588,-0.04422
0.592,0.00156
0.596,-0.00759
0.6,-0.02818
0.604,-0.03526
0.608,-0.0221
0.612,-0.02101
0.616,-0.0234
0.62,-0.03866
0.624,-0.02285
0.628,-0.02476
0.632,-0.02777
0.636,-0.00617
0.64,-0.04023
0.644,-0.02833
0.648,-0.02497
0.652,-0.03451
0.656,-0.00945
0.66,-0.01688
0.664,-0.00782
0.668,-0.04276
0.672,-0.02625
0.676,-0.01881
0.68,-0.02266
0.684,-0.02908
0.688,-0.026
0.692,-0.03824
0.696,-0.00395
0.7,-0.04231
0.704,-0.04565
0.708,-0.01799
0.712,-0.0304
0.716,-0.01312
0.72,-0.02996
0.724,-0.00317
0.728,-0.02217
0.732,-0.0422
0.736,-0.02256
0.74,-0.02859
0.744,0.02096
0.748,-0.01443
0.752,-0.00159
0.756,0.00724
0.76,0.03108
0.764,0.06261
0.768,0.04694
0.772,0.07626
0.776,0.05457
0.78,0.07597
0.784,0.04251
0.788,0.05684
0.792,0.08203
0.796,0.05951
0.8,0.04004
0.804,0.00387
0.808,0.01185
0.812,0.02945
0.816,-0.01693
0.82,-0.02768
0.824,0.00079
0.828,-0.03415
0.832,-0.05723
0.836,-0.02325
0.84,-0.01974
0.844,-0.02837
0.848,-0.03109
0.852,-0.02639
0.856,-0.03814
0.86,-0.04878
0.864,-0.01036
0.868,-0.02854
0.872,-0.01147
0.876,-0.07064
0.88,-0.01606
0.884,-0.0317
0.888,-0.02861
0.892,-0.03094
0.896,-0.07594
0.9,-0.05458
0.904,-0.10881
0.908,-0.13168
0.912,-0.13322
0.916,-0.05498
0.92,0.0616
0.924,0.21261
0.928,0.43101
0.932,0.66822
0.936,0.83528
0.94,0.96588
0.944,0.95404
0.948,0.85794
0.952,0.69748
0.956,0.44009
0.96,0.22147
0.964,0.04087
0.968,-0.11746
0.972,-0.16665
0.976,-0.15959
0.98,-0.16093
0.984,-0.1164
0.988,-0.10079
0.992,-0.05992
0.996,-0.05338
1.0,-0.04563
1.004,-0.07724
1.008,-0.02312
1.012,-0.03715
1.016,-0.0189
1.02,-0.02112
1.024,-0.03971
1.028,-0.02512
1.032,-0.01553
1.036,-0.02319
1.04,-0.02538
1.044,-0.05452
1.048,-0.05066
1.052,-0.02205
1.056,-0.05154
1.06,-0.03
1.064,-0.03311
1.068,-0.01286
1.072,-0.00188
1.076,-0.04049
1.08,0.00015
1.084,-0.0429
1.088,-0.0404
1.092,-0.01731
1.096,-0.02481
1.1,-0.01714
1.104,-0.01051
1.108,-0.01266
1.112,-0.02632
1.116,-0.04501
1.12,-0.00299
1.124,-0.03753
1.128,-0.00745
1.132,0.00783
1.136,0.00676
1.14,-0.00997
1.144,0.01197
1.148,0.01093
1.152,0.02559
1.156,0.05759
1.16,0.05331
1.164,0.08205
1.168,0.07024
1.172,0.06985
1.176,0.08851
1.18,0.15301
1.184,0.15495
1.188,0.14143
1.192,0.15301
1.196,0.14898
1.2,0.1757
1.204,0.17166
1.208,0.17243
1.212,0.18963
1.216,0.22282
1.22,0.18848
1.224,0.20451
1.228,0.18832
1.232,0.19288
1.236,0.16603
1.24,0.18883
1.244,0.15594
1.248,0.16593
1.252,0.12765
1.256,0.13363
1.26,0.12068
1.264,0.09858
1.268,0.0913
1.272,0.07999
1.276,0.08389
1.28,0.04569
1.284,0.07736
1.288,0.06943
1.292,0.04429
1.296,0.0103
1.3,0.00556
1.304,0.0222
1.308,0.05033
1.312,0.00595
1.316,0.00308
1.32,-0.02853
1.324,-0.02851
1.328,-0.02157
1.332,-0.00465
1.336,-0.03472
1.34,-0.00776
1.344,-0.05995
1.348,-0.04476
1.352,-0.02619
1.356,-0.0155
1.36,-0.03829
1.364,-0.01173
1.368,-0.01596
1.372,-0.00694
1.376,-0.00206
1.38,-0.03315
1.384,-0.0272
1.388,-0.02577
1.392,0.00664
1.396,-0.00749
1.4,-0.013
1.404,-0.02508
1.408,-0.03384
1.412,-0.02678
1.416,-0.02941
1.42,-0.01651
1.424,0.02683
1.428,-0.01152
1.432,-0.02466
1.436,-0.05764
1.44,-0.02003
1.444,-0.02963
1.448,0.00928
1.452,-0.01774
1.456,-0.00844
1.46,0.03689
1.464,0.05585
1.468,0.03423
1.472,0.05258
1.476,0.07695
1.48,0.06993
1.484,0.07296
1.488,0.07865
1.492,0.07841
1.496,0.06176
1.5,0.03602
1.504,0.04724
1.508,0.03919
1.512,0.01524
1.516,-0.00519
1.52,0.01031
1.524,-0.01054
1.528,0.00131
1.532,-0.00387
1.536,-0.02153
1.54,-0.02237
1.544,-0.03357
1.548,-0.02727
1.552,-0.01978
1.556,-0.0297
1.56,-0.0157
1.564,-0.03769
1.568,-0.04301
1.572,-0.02576
1.576,-0.01555
1.58,-0.01759
1.584,-0.01179
1.588,-0.0192
1.592,-0.02419
1.596,-0.02958
1.6,-0.01822
1.604,-0.05076
1.608,-0.07712
1.612,-0.1177
1.616,-0.1549
1.62,-0.08802
1.624,0.03518
1.628,0.20066
1.632,0.43635
1.636,0.62241
1.64,0.83919
1.644,0.94302
1.648,0.98598
1.652,0.89567
1.656,0.68979
1.66,0.45575
1.664,0.23623
1.668,0.04738
1.672,-0.06476
1.676,-0.16886
1.68,-0.21438
1.684,-0.12897
1.688,-0.12482
1.692,-0.08625
1.696,-0.06161
1.7,-0.03318
1.704,-0.02889
1.708,-0.03666
1.712,-0.05977
1.716,-0.03658
1.72,-0.03308
1.724,-0.00351
1.728,-0.01709
1.732,-0.02956
1.736,-0.0214
1.74,-0.01821
1.744,-0.02603
1.748,-0.01264
1.752,-0.0274
1.756,-0.04432
1.76,-0.00994
1.764,-0.03656
1.768,-0.04229
1.772,-0.02685
1.776,-0.03307
1.78,-0.02111
1.784,-0.0008
1.788,-0.0278
1.792,-0.03507
1.796,-0.02863
1.8,-0.00947
1.804,-0.02323
1.808,-0.03195
1.812,-0.00725
1.816,-0.02213
1.82,-0.02452
1.824,0.00563
1.828,0.00195
1.832,0.00476
1.836,0.01857
1.84,0.02253
1.844,0.03328
1.848,0.03131
1.852,0.08937
1.856,0.03955
1.86,0.05526
1.864,0.03911
1.868,0.08947
1.872,0.08518
1.876,0.12204
1.88,0.10108
1.884,0.13555
1.888,0.1181
1.892,0.13926
1.896,0.1447
1.9,0.18098
1.904,0.16366
1.908,0.19217
1.912,0.18315
1.916,0.18283
1.92,0.18771
1.924,0.19402
1.928,0.16726
1.932,0.16345
1.936,0.20847
1.94,0.17745
1.944,0.191
1.948,0.17239
1.952,0.16802
1.956,0.15198
1.96,0.13243
1.964,0.1507
1.968,0.14768
1.972,0.12834
1.976,0.09317
1.98,0.07991
1.984,0.08889
1.988,0.10607
1.992,0.04529
1.996,0.05109
2.0,0.04762
2.004,0.04006
2.008,0.02672
2.012,0.01528
2.016,0.01608
2.02,0.00997
2.024,0.02257
2.028,-0.01138
2.032,0.0073
2.036,0.0108
2.04,-0.01069
2.044,-0.01105
2.048,-0.00527
2.052,-0.03648
2.056,-0.00491
2.06,-0.01756
2.064,-0.04136
2.068,-0.01091
2.072,-0.02424
2.076,-0.01067
2.08,-0.00052
2.084,-0.00649
2.088,-0.02304
2.092,-0.01898
2.096,0.00187
2.1,-0.0321
2.104,0.00381
2.108,-0.03074
2.112,-0.02407
2.116,-0.00106
2.12,-0.01666
2.124,0.01157
2.128,-0.01653
2.132,-0.04293
2.136,-0.00498
2.14,-0.0104
2.144,-0.01717
2.148,-0.04081
2.152,0.00256
2.156,0.00193
2.16,-0.02815
2.164,-0.01194
2.168,-0.01644
2.172,-0.03573
2.176,-0.04608
2.18,-0.02443
2.184,-0.01095
2.188,0.01603
2.192,-0.00755
2.196,-0.02737
2.2,-0.00741
2.204,-0.02377
2.208,-0.00467
2.212,-0.03942
2.216,0.00179
2.22,0.01271
2.224,0.01911
2.228,0.02801
2.232,-0.00122
2.236,0.00373
2.24,0.00795
2.244,0.00846
2.248,0.01553
2.252,0.00639
2.256,0.04673
2.26,0.08403
2.264,0.04865
2.268,0.0736
2.272,0.07558
2.276,0.11967
2.28,0.06538
2.284,0.10291
2.288,0.07364
2.292,0.05391
2.296,0.04968
2.3,0.03967
2.304,0.02737
2.308,0.01321
2.312,0.04735
2.316,0.01242
2.32,-0.01588
2.324,0.00055
2.328,0.01798
2.332,-0.00872
2.336,0.03149
2.34,-0.00155
2.344,-0.00366
2.348,-0.04909
2.352,-0.00311
2.356,-0.01554
2.36,-0.02824
2.364,-0.01216
2.368,-0.02396
2.372,-0.02947
2.376,-0.01565
2.38,0.00163
2.384,0.01375
2.388,-0.03097
2.392,-0.03926
2.396,-0.05369
2.4,-0.0692
2.404,-0.11056
2.408,-0.10399
2.412,-0.02186
2.416,0.12052
2.42,0.27901
2.424,0.49609
2.428,0.7158
2.432,0.90023
2.436,1.01111
