t_seg,ecg_mV
0.0,-0.01999
0.004,0.09632
0.008,0.32318
0.012,0.47811
0.016,0.71973
0.02,0.88591
0.024,0.96837
0.028,0.97828
0.032,0.85593
0.036,0.64469
0.04,0.42163
0.044,0.21246
0.048,0.02007
0.052,-0.11637
0.056,-0.1696
0.06,-0.1909
0.064,-0.13107
0.068,-0.09628
0.072,-0.07074
0.076,-0.05378
0.08,-0.0428
0.084,-0.00424
0.088,-0.00075
0.092,-0.0041
0.096,0.02447
0.1,-0.02363
0.104,-0.01414
0.108,-0.00676
0.112,0.00065
0.116,-0.01189
0.12,0.02065
0.124,-0.00062
0.128,-0.03514
0.132,0.00116
0.136,0.02371
0.14,-0.01143
0.144,0.00176
0.148,-0.00211
0.152,0.00103
0.156,0.00069
0.16,-0.01479
0.164,-0.00798
0.168,-0.00553
0.172,-0.00338
0.176,0.00549
0.18,0.00237
0.184,-0.0116
0.188,0.00417
0.192,0.00602
0.196,0.01239
0.2,-0.01101
0.204,0.03879
0.208,0.01132
0.212,0.03332
0.216,0.0281
0.22,0.03451
0.224,0.04873
0.228,0.05236
0.232,0.03456
0.236,0.06981
0.24,0.06273
0.244,0.07826
0.248,0.0838
0.252,0.10644
0.256,0.11874
0.26,0.13725
0.264,0.16557
0.268,0.12466
0.272,0.17665
0.276,0.14711
0.28,0.20411
0.284,0.19765
0.288,0.20246
0.292,0.22449
0.296,0.21459
0.3,0.22012
0.304,0.2236
0.308,0.2107
0.312,0.22446
0.316,0.23186
0.32,0.17332
0.324,0.21858
0.328,0.19167
0.332,0.19597
0.336,0.17162
0.34,0.1765
0.344,0.14872
0.348,0.15432
0.352,0.10887
0.356,0.13877
0.36,0.11363
0.364,0.11325
0.368,0.0922
0.372,0.05331
0.376,0.05896
0.38,0.07399
0.384,0.07239
0.388,0.04278
0.392,0.0291
0.396,0.01233
0.4,0.00457
0.404,-0.00235
0.408,0.0418
0.412,0.00953
0.416,0.02941
0.42,0.00808
0.424,0.00794
0.428,0.02008
0.432,0.03147
0.436,-0.0039
0.44,-0.01234
0.444,0.00277
0.448,0.02435
0.452,0.05168
0.456,0.00934
0.46,0.00858
0.464,-0.01058
0.468,0.01592
0.472,-0.00717
0.476,-0.0183
0.48,0.02565
0.484,-0.00878
0.488,0.01062
0.492,-0.00666
0.496,-0.03135
0.5,0.00373
0.504,0.0102
0.508,0.01179
0.512,-0.02313
0.516,0.01846
0.52,-0.00413
0.524,0.01339
0.528,0.00386
0.532,0.02786
0.536,-0.00534
0.54,0.03844
0.544,-0.02033
0.548,0.03705
0.552,0.01094
0.556,0.05282
0.56,0.01958
0.564,0.05781
0.568,0.02095
0.572,0.0436
0.576,0.07628
0.58,0.08926
0.584,0.08151
0.588,0.11033
0.592,0.11759
0.596,0.11767
0.6,0.07693
0.604,0.13903
0.608,0.07846
0.612,0.08791
0.616,0.07746
0.62,0.04373
0.624,0.029
0.628,0.03468
0.632,0.01621
0.636,0.03048
0.64,0.02297
0.644,0.00706
0.648,-0.00512
0.652,0.02487
0.656,0.02158
0.66,-0.00743
0.664,0.02486
0.668,0.0307
0.672,0.02162
0.676,0.00817
0.68,0.03263
0.684,-0.01444
0.688,-0.00247
0.692,0.01747
0.696,-0.02754
0.7,0.02133
0.704,-0.00253
0.708,-0.02373
0.712,-0.07522
0.716,-0.06506
0.72,-0.12273
0.724,-0.09693
0.728,-0.00738
0.732,0.11433
0.736,0.29206
0.74,0.49753
0.744,0.67015
0.748,0.90202
0.752,0.9858
0.756,0.96788
0.76,0.88241
0.764,0.69931
0.768,0.46319
0.772,0.23154
0.776,0.05458
0.78,-0.07593
0.784,-0.12316
0.788,-0.17095
0.792,-0.13975
0.796,-0.08322
0.8,-0.01998
0.804,-0.00102
0.808,-0.01444
0.812,0.01865
0.816,0.02169
0.82,0.02423
0.824,-0.00022
0.828,0.01035
0.832,0.02021
0.836,-0.00793
0.84,0.00561
0.844,0.02942
0.848,0.0388
0.852,0.02834
0.856,0.01221
0.86,0.00022
0.864,0.01447
0.868,0.01413
0.872,0.02587
0.876,0.01177
0.88,0.023
0.884,0.03605
0.888,0.00095
0.892,0.00444
0.896,0.0311
0.9,0.00612
0.904,0.0361
0.908,0.05231
0.912,0.01165
0.916,0.0047
0.92,0.03022
0.924,0.01134
0.928,0.00244
0.932,0.05482
0.936,0.00017
0.94,0.06813
0.944,0.04606
0.948,0.06493
0.952,0.02639
0.956,0.03622
0.96,0.06171
0.964,0.07832
0.968,0.07474
0.972,0.12972
0.976,0.10923
0.98,0.11234
0.984,0.14576
0.988,0.14654
0.992,0.14029
0.996,0.15948
1.0,0.16863
1.004,0.20378
1.008,0.22476
1.012,0.2233
1.016,0.2517
1.02,0.25258
1.024,0.22233
1.028,0.24397
1.032,0.23376
1.036,0.24607
1.04,0.24441
1.044,0.22317
1.048,0.23831
1.052,0.24456
1.056,0.21427
1.06,0.22493
1.064,0.17261
1.068,0.19892
1.072,0.15799
1.076,0.16276
1.08,0.14391
1.084,0.14953
1.088,0.13819
1.092,0.11931
1.096,0.10509
1.1,0.09221
1.104,0.11305
1.108,0.08516
1.112,0.08815
1.116,0.05938
1.12,0.07264
1.124,0.03574
1.128,0.05059
1.132,0.05094
1.136,0.02545
1.14,0.0225
1.144,0.02429
1.148,0.04304
1.152,0.03903
1.156,0.02263
1.16,-0.01752
1.164,0.03427
1.168,0.01778
1.172,0.03538
1.176,0.00866
1.18,0.03618
1.184,0.05307
1.188,0.03328
1.192,0.02948
1.196,0.03581
1.2,0.0129
1.204,0.00746
1.208,0.02847
1.212,-0.00485
1.216,0.0312
1.22,0.01653
1.224,0.03042
1.228,-0.00024
1.232,0.0089
1.236,0.02401
1.24,0.01591
1.244,0.03859
1.248,0.04898
1.252,0.04989
1.256,0.03908
1.26,0.06202
1.264,0.06041
1.268,0.08244
1.272,0.10183
1.276,0.10423
1.28,0.09093
1.284,0.11717
1.288,0.13681
1.292,0.10152
1.296,0.11451
1.3,0.10994
1.304,0.07972
1.308,0.08809
1.312,0.0813
1.316,0.08964
1.32,0.0582
1.324,0.06963
1.328,0.0272
1.332,0.01657
1.336,0.03695
1.34,0.03476
1.344,0.01486
1.348,0.00332
1.352,0.04033
1.356,0.01596
1.36,0.00992
1.364,0.04243
1.368,0.04314
1.372,0.07152
1.376,0.04029
1.38,0.04997
1.384,0.02705
1.388,0.01772
1.392,0.02789
1.396,0.01365
1.4,0.0474
1.404,-0.00948
1.408,-0.03771
1.412,-0.0516
1.416,-0.08801
1.42,-0.06575
1.424,-0.01542
1.428,0.14293
1.432,0.35278
1.436,0.54837
1.44,0.73206
1.444,0.9118
1.448,1.00875
1.452,1.01241
1.456,0.86549
1.46,0.67497
1.464,0.42238
1.468,0.2206
1.472,0.07579
1.476,-0.07585
1.48,-0.12487
1.484,-0.16392
1.488,-0.10966
1.492,-0.04106
1.496,-0.04687
1.5,0.00929
1.504,-0.01108
1.508,0.00286
1.512,0.05572
1.516,0.0162
1.52,0.0435
1.524,0.03461
1.528,0.02928
1.532,0.00496
1.536,0.03135
1.54,0.0385
1.544,0.01857
1.548,0.02672
1.552,0.03192
1.556,0.06287
1.56,0.02641
1.564,0.04393
1.568,-0.01101
1.572,0.05329
1.576,0.01425
1.58,0.05084
1.584,0.00465
1.588,0.02767
1.592,0.05582
1.596,0.00637
1.6,0.03069
1.604,0.0214
1.608,0.03264
1.612,0.02213
1.616,0.03807
1.62,0.06718
1.624,0.05445
1.628,0.03404
